0000	Spooky Wardrobe     
0496	Handcart            
0497	Handcart            
0498	Wash Basin          
0499	Wash Basin          
049A	Wash Basin          
049B	Wash Basin          
049C	Jack-o'-Lantern     
049D	Jack-o'-Lantern     
049E	Jack-o'-Lantern     
049F	Jack-o'-Lantern     
04A0	Warning Sign        
04A1	Warning Sign        
04A2	Warning Sign        
04A3	Warning Sign        
04A4	Detour Arrow        
04A5	Detour Arrow        
04A6	Detour Arrow        
04A7	Detour Arrow        
04A8	Garden Stone        
04A9	Garden Stone        
04AA	Garden Stone        
04AB	Garden Stone        
04AC	Standing Stone      
04AD	Standing Stone      
04AE	Standing Stone      
04AF	Standing Stone      
04B0	Route Sign          
04B1	Route Sign          
04B2	Route Sign          
04B3	Route Sign          
04B4	Men Working Sign    
04B5	Men Working Sign    
04B6	Men Working Sign    
04B7	Men Working Sign    
04B8	Caution Sign        
04B9	Caution Sign        
04BA	Caution Sign        
04BB	Caution Sign        
04BC	Temple Basin        
04BD	Temple Basin        
04BE	Temple Basin        
04BF	Temple Basin        
04C0	Spooky Bed          
04C1	Spooky Bed          
04C2	Spooky Bed          
04C3	Spooky Bed          
04C4	Jack-in-the-Box     
04C5	Jack-in-the-Box     
04C6	Jack-in-the-Box     
04C7	Jack-in-the-Box     
04C8	Spooky Chair        
04C9	Spooky Chair        
04CA	Spooky Chair        
04CB	Spooky Chair        
04CC	Unused Chair        
04CD	Unused Chair        
04CE	Unused Chair        
04CF	Unused Chair        
04D0	Spooky Bookcase     
04D1	Spooky Bookcase     
04D2	Spooky Bookcase     
04D3	Spooky Bookcase     
04D4	Spooky Sofa         
04D5	Spooky Sofa         
04D6	Spooky Sofa         
04D7	Spooky Sofa         
04D8	Spooky Table        
04D9	Spooky Table        
04DA	Spooky Table        
04DB	Spooky Table        
04DC	Lunar Lander        
04DD	Lunar Lander        
04DE	Lunar Lander        
04DF	Lunar Lander        
04E0	Satellite           
04E1	Satellite           
04E2	Satellite           
04E3	Satellite           
04E4	Mossy Stone         
04E5	Mossy Stone         
04E6	Mossy Stone         
04E7	Mossy Stone         
04E8	Leaning Stone       
04E9	Leaning Stone       
04EA	Leaning Stone       
04EB	Leaning Stone       
04EC	Dark Stone          
04ED	Dark Stone          
04EE	Dark Stone          
04EF	Dark Stone          
04F0	Flying Saucer       
04F1	Flying Saucer       
04F2	Flying Saucer       
04F3	Flying Saucer       
04F4	Stone Couple        
04F5	Stone Couple        
04F6	Stone Couple        
04F7	Stone Couple        
04F8	Garden Pond         
04F9	Garden Pond         
04FA	Garden Pond         
04FB	Garden Pond         
04FC	Rocket              
04FD	Rocket              
04FE	Rocket              
04FF	Rocket              
0500	Spaceman Sam        
0501	Spaceman Sam        
0502	Spaceman Sam        
0503	Spaceman Sam        
0504	Spooky Clock        
0505	Spooky Clock        
0506	Spooky Clock        
0507	Spooky Clock        
0508	Spooky Lamp         
0509	Spooky Lamp         
050A	Spooky Lamp         
050B	Spooky Lamp         
050C	Exotic Bed          
050D	Exotic Bed          
050E	Exotic Bed          
050F	Exotic Bed          
0510	Exotic End Table    
0511	Exotic End Table    
0512	Exotic End Table    
0513	Exotic End Table    
0514	Asteroid            
0515	Asteroid            
0516	Asteroid            
0517	Asteroid            
0518	Cabana Lamp         
0519	Cabana Lamp         
051A	Cabana Lamp         
051B	Cabana Lamp         
051C	Cabana Table        
051D	Cabana Table        
051E	Cabana Table        
051F	Cabana Table        
0520	Bucket              
0521	Bucket              
0522	Bucket              
0523	Bucket              
0524	Scale               
0525	Scale               
0526	Scale               
0527	Scale               
0528	Faucet              
0529	Faucet              
052A	Faucet              
052B	Faucet              
052C	Spa Chair           
052D	Spa Chair           
052E	Spa Chair           
052F	Spa Chair           
0530	Cabana Screen       
0531	Cabana Screen       
0532	Cabana Screen       
0533	Cabana Screen       
0534	Cabana Vanity       
0535	Cabana Vanity       
0536	Cabana Vanity       
0537	Cabana Vanity       
0538	Cabana Chair        
0539	Cabana Chair        
053A	Cabana Chair        
053B	Cabana Chair        
053C	Cabana Bookcase     
053D	Cabana Bookcase     
053E	Cabana Bookcase     
053F	Cabana Bookcase     
0540	Arwing              
0541	Arwing              
0542	Arwing              
0543	Arwing              
0544	Lunar Rover         
0545	Lunar Rover         
0546	Lunar Rover         
0547	Lunar Rover         
0548	Massage Chair       
0549	Massage Chair       
054A	Massage Chair       
054B	Massage Chair       
054C	Bath Mat            
054D	Bath Mat            
054E	Bath Mat            
054F	Bath Mat            
0550	Spa Tub             
0551	Spa Tub             
0552	Spa Tub             
0553	Spa Tub             
0554	Blue Clock          
0555	Blue Clock          
0556	Blue Clock          
0557	Blue Clock          
0558	Mochi Pestle        
0559	Mochi Pestle        
055A	Mochi Pestle        
055B	Mochi Pestle        
055C	Spooky Vanity       
055D	Spooky Vanity       
055E	Spooky Vanity       
055F	Spooky Vanity       
0560	Green Desk          
0561	Green Desk          
0562	Green Desk          
0563	Green Desk          
0564	Clerk's Booth       
0565	Clerk's Booth       
0566	Clerk's Booth       
0567	Clerk's Booth       
0568	Modern Chair        
0569	Modern Chair        
056A	Modern Chair        
056B	Modern Chair        
056C	Modern End Table    
056D	Modern End Table    
056E	Modern End Table    
056F	Modern End Table    
0570	Space Station       
0571	Space Station       
0572	Space Station       
0573	Space Station       
0574	Spa Screen          
0575	Spa Screen          
0576	Spa Screen          
0577	Spa Screen          
0578	Cabin Chair         
0579	Cabin Chair         
057A	Cabin Chair         
057B	Cabin Chair         
057C	Regal Bed           
057D	Regal Bed           
057E	Regal Bed           
057F	Regal Bed           
0580	Space Shuttle       
0581	Space Shuttle       
0582	Space Shuttle       
0583	Space Shuttle       
0584	Regal Vanity        
0585	Regal Vanity        
0586	Regal Vanity        
0587	Regal Vanity        
0588	Regal Sofa          
0589	Regal Sofa          
058A	Regal Sofa          
058B	Regal Sofa          
058C	Regal Lamp          
058D	Regal Lamp          
058E	Regal Lamp          
058F	Regal Lamp          
0590	Cabin Table         
0591	Cabin Table         
0592	Cabin Table         
0593	Cabin Table         
0594	Bath Locker         
0595	Bath Locker         
0596	Bath Locker         
0597	Bath Locker         
0598	Milk Fridge         
0599	Milk Fridge         
059A	Milk Fridge         
059B	Milk Fridge         
059C	Tea Set             
059D	Tea Set             
059E	Tea Set             
059F	Tea Set             
05A0	Nook's Portrait     
05A1	Nook's Portrait     
05A2	Nook's Portrait     
05A3	Nook's Portrait     
05A4	Gerbera             
05A5	Gerbera             
05A6	Gerbera             
05A7	Gerbera             
05A8	Sunflower           
05A9	Sunflower           
05AA	Sunflower           
05AB	Sunflower           
05AC	Daffodil            
05AD	Daffodil            
05AE	Daffodil            
05AF	Daffodil            
05B0	Tall Gongoid        
05B1	Tall Gongoid        
05B2	Tall Gongoid        
05B3	Tall Gongoid        
05B4	Mega Gongoid        
05B5	Mega Gongoid        
05B6	Mega Gongoid        
05B7	Mega Gongoid        
05B8	Mini Gongoid        
05B9	Mini Gongoid        
05BA	Mini Gongoid        
05BB	Mini Gongoid        
05BC	Gongoid             
05BD	Gongoid             
05BE	Gongoid             
05BF	Gongoid             
05C0	Mini Oombloid       
05C1	Mini Oombloid       
05C2	Mini Oombloid       
05C3	Mini Oombloid       
05C4	Oombloid            
05C5	Oombloid            
05C6	Oombloid            
05C7	Oombloid            
05C8	Mega Oombloid       
05C9	Mega Oombloid       
05CA	Mega Oombloid       
05CB	Mega Oombloid       
05CC	Tall Oombloid       
05CD	Tall Oombloid       
05CE	Tall Oombloid       
05CF	Tall Oombloid       
05D0	Mega Echoid         
05D1	Mega Echoid         
05D2	Mega Echoid         
05D3	Mega Echoid         
05D4	Mini Echoid         
05D5	Mini Echoid         
05D6	Mini Echoid         
05D7	Mini Echoid         
05D8	Tall Echoid         
05D9	Tall Echoid         
05DA	Tall Echoid         
05DB	Tall Echoid         
05DC	Mini Sputnoid       
05DD	Mini Sputnoid       
05DE	Mini Sputnoid       
05DF	Mini Sputnoid       
05E0	Sputnoid            
05E1	Sputnoid            
05E2	Sputnoid            
05E3	Sputnoid            
05E4	Mega Sputnoid       
05E5	Mega Sputnoid       
05E6	Mega Sputnoid       
05E7	Mega Sputnoid       
05E8	Tall Sputnoid       
05E9	Tall Sputnoid       
05EA	Tall Sputnoid       
05EB	Tall Sputnoid       
05EC	Mini Dinkoid        
05ED	Mini Dinkoid        
05EE	Mini Dinkoid        
05EF	Mini Dinkoid        
05F0	Mini Fizzoid        
05F1	Mini Fizzoid        
05F2	Mini Fizzoid        
05F3	Mini Fizzoid        
05F4	Mega Fizzoid        
05F5	Mega Fizzoid        
05F6	Mega Fizzoid        
05F7	Mega Fizzoid        
05F8	Mega Dinkoid        
05F9	Mega Dinkoid        
05FA	Mega Dinkoid        
05FB	Mega Dinkoid        
05FC	Mini Gargloid       
05FD	Mini Gargloid       
05FE	Mini Gargloid       
05FF	Mini Gargloid       
0600	Gargloid            
0601	Gargloid            
0602	Gargloid            
0603	Gargloid            
0604	Tall Gargloid       
0605	Tall Gargloid       
0606	Tall Gargloid       
0607	Tall Gargloid       
0608	Mega Buzzoid        
0609	Mega Buzzoid        
060A	Mega Buzzoid        
060B	Mega Buzzoid        
060C	Tall Buzzoid        
060D	Tall Buzzoid        
060E	Tall Buzzoid        
060F	Tall Buzzoid        
0610	Buzzoid             
0611	Buzzoid             
0612	Buzzoid             
0613	Buzzoid             
0614	Mini Buzzoid        
0615	Mini Buzzoid        
0616	Mini Buzzoid        
0617	Mini Buzzoid        
0618	Sproid              
0619	Sproid              
061A	Sproid              
061B	Sproid              
061C	Mini Sproid         
061D	Mini Sproid         
061E	Mini Sproid         
061F	Mini Sproid         
0620	Mega Sproid         
0621	Mega Sproid         
0622	Mega Sproid         
0623	Mega Sproid         
0624	Tall Sproid         
0625	Tall Sproid         
0626	Tall Sproid         
0627	Tall Sproid         
0628	Tootoid             
0629	Tootoid             
062A	Tootoid             
062B	Tootoid             
062C	Mini Tootoid        
062D	Mini Tootoid        
062E	Mini Tootoid        
062F	Mini Tootoid        
0630	Mega Tootoid        
0631	Mega Tootoid        
0632	Mega Tootoid        
0633	Mega Tootoid        
0634	Tall Droploid       
0635	Tall Droploid       
0636	Tall Droploid       
0637	Tall Droploid       
0638	Mega Bovoid         
0639	Mega Bovoid         
063A	Mega Bovoid         
063B	Mega Bovoid         
063C	Tall Bovoid         
063D	Tall Bovoid         
063E	Tall Bovoid         
063F	Tall Bovoid         
0640	Mini Metatoid       
0641	Mini Metatoid       
0642	Mini Metatoid       
0643	Mini Metatoid       
0644	Metatoid            
0645	Metatoid            
0646	Metatoid            
0647	Metatoid            
0648	Mini Bowtoid        
0649	Mini Bowtoid        
064A	Mini Bowtoid        
064B	Mini Bowtoid        
064C	Bowtoid             
064D	Bowtoid             
064E	Bowtoid             
064F	Bowtoid             
0650	Mega Bowtoid        
0651	Mega Bowtoid        
0652	Mega Bowtoid        
0653	Mega Bowtoid        
0654	Tall Bowtoid        
0655	Tall Bowtoid        
0656	Tall Bowtoid        
0657	Tall Bowtoid        
0658	Mega Lamentoid      
0659	Mega Lamentoid      
065A	Mega Lamentoid      
065B	Mega Lamentoid      
065C	Tall Lamentoid      
065D	Tall Lamentoid      
065E	Tall Lamentoid      
065F	Tall Lamentoid      
0660	Lamentoid           
0661	Lamentoid           
0662	Lamentoid           
0663	Lamentoid           
0664	Mini Lamentoid      
0665	Mini Lamentoid      
0666	Mini Lamentoid      
0667	Mini Lamentoid      
0668	Mini Timpanoid      
0669	Mini Timpanoid      
066A	Mini Timpanoid      
066B	Mini Timpanoid      
066C	Timpanoid           
066D	Timpanoid           
066E	Timpanoid           
066F	Timpanoid           
0670	Mega Timpanoid      
0671	Mega Timpanoid      
0672	Mega Timpanoid      
0673	Mega Timpanoid      
0674	Quazoid             
0675	Quazoid             
0676	Quazoid             
0677	Quazoid             
0678	Mega Quazoid        
0679	Mega Quazoid        
067A	Mega Quazoid        
067B	Mega Quazoid        
067C	Mega Dekkoid        
067D	Mega Dekkoid        
067E	Mega Dekkoid        
067F	Mega Dekkoid        
0680	Dekkoid             
0681	Dekkoid             
0682	Dekkoid             
0683	Dekkoid             
0684	Mini Dekkoid        
0685	Mini Dekkoid        
0686	Mini Dekkoid        
0687	Mini Dekkoid        
0688	Mega Alloid         
0689	Mega Alloid         
068A	Mega Alloid         
068B	Mega Alloid         
068C	Tall Alloid         
068D	Tall Alloid         
068E	Tall Alloid         
068F	Tall Alloid         
0690	Mini Alloid         
0691	Mini Alloid         
0692	Mini Alloid         
0693	Mini Alloid         
0694	Mini Freakoid       
0695	Mini Freakoid       
0696	Mini Freakoid       
0697	Mini Freakoid       
0698	Mega Feakoid        
0699	Mega Feakoid        
069A	Mega Feakoid        
069B	Mega Feakoid        
069C	Tall Quazoid        
069D	Tall Quazoid        
069E	Tall Quazoid        
069F	Tall Quazoid        
06A0	Mini Quazoid        
06A1	Mini Quazoid        
06A2	Mini Quazoid        
06A3	Mini Quazoid        
06A4	Squat Dingloid      
06A5	Squat Dingloid      
06A6	Squat Dingloid      
06A7	Squat Dingloid      
06A8	Mega Dingloid       
06A9	Mega Dingloid       
06AA	Mega Dingloid       
06AB	Mega Dingloid       
06AC	Tall Dingloid       
06AD	Tall Dingloid       
06AE	Tall Dingloid       
06AF	Tall Dingloid       
06B0	Dingloid            
06B1	Dingloid            
06B2	Dingloid            
06B3	Dingloid            
06B4	Mini Dingloid       
06B5	Mini Dingloid       
06B6	Mini Dingloid       
06B7	Mini Dingloid       
06B8	Wee Dingloid        
06B9	Wee Dingloid        
06BA	Wee Dingloid        
06BB	Wee Dingloid        
06BC	Mega Clankoid       
06BD	Mega Clankoid       
06BE	Mega Clankoid       
06BF	Mega Clankoid       
06C0	Clankoid            
06C1	Clankoid            
06C2	Clankoid            
06C3	Clankoid            
06C4	Tall Clankoid       
06C5	Tall Clankoid       
06C6	Tall Clankoid       
06C7	Tall Clankoid       
06C8	Mini Clankoid       
06C9	Mini Clankoid       
06CA	Mini Clankoid       
06CB	Mini Clankoid       
06CC	Croakoid            
06CD	Croakoid            
06CE	Croakoid            
06CF	Croakoid            
06D0	Mega Croakoid       
06D1	Mega Croakoid       
06D2	Mega Croakoid       
06D3	Mega Croakoid       
06D4	Tall Croakoid       
06D5	Tall Croakoid       
06D6	Tall Croakoid       
06D7	Tall Croakoid       
06D8	Mini Croakoid       
06D9	Mini Croakoid       
06DA	Mini Croakoid       
06DB	Mini Croakoid       
06DC	Mega Poltergoid     
06DD	Mega Poltergoid     
06DE	Mega Poltergoid     
06DF	Mega Poltergoid     
06E0	Tall Poltergoid     
06E1	Tall Poltergoid     
06E2	Tall Poltergoid     
06E3	Tall Poltergoid     
06E4	Poltergoid          
06E5	Poltergoid          
06E6	Poltergoid          
06E7	Poltergoid          
06E8	Mini Poltergoid     
06E9	Mini Poltergoid     
06EA	Mini Poltergoid     
06EB	Mini Poltergoid     
06EC	Tall Warbloid       
06ED	Tall Warbloid       
06EE	Tall Warbloid       
06EF	Tall Warbloid       
06F0	Warbloid            
06F1	Warbloid            
06F2	Warbloid            
06F3	Warbloid            
06F4	Mini Warbloid       
06F5	Mini Warbloid       
06F6	Mini Warbloid       
06F7	Mini Warbloid       
06F8	Mega Rustoid        
06F9	Mega Rustoid        
06FA	Mega Rustoid        
06FB	Mega Rustoid        
06FC	Rustoid             
06FD	Rustoid             
06FE	Rustoid             
06FF	Rustoid             
0700	Mini Rustoid        
0701	Mini Rustoid        
0702	Mini Rustoid        
0703	Mini Rustoid        
0704	Mega Percoloid      
0705	Mega Percoloid      
0706	Mega Percoloid      
0707	Mega Percoloid      
0708	Tall Percoloid      
0709	Tall Percoloid      
070A	Tall Percoloid      
070B	Tall Percoloid      
070C	Mega Puffoid        
070D	Mega Puffoid        
070E	Mega Puffoid        
070F	Mega Puffoid        
0710	Mini Puffoid        
0711	Mini Puffoid        
0712	Mini Puffoid        
0713	Mini Puffoid        
0714	Tall Puffoid        
0715	Tall Puffoid        
0716	Tall Puffoid        
0717	Tall Puffoid        
0718	Rhythmoid           
0719	Rhythmoid           
071A	Rhythmoid           
071B	Rhythmoid           
071C	Mini Rythmoid       
071D	Mini Rythmoid       
071E	Mini Rythmoid       
071F	Mini Rythmoid       
0720	Slim Quazoid        
0721	Slim Quazoid        
0722	Slim Quazoid        
0723	Slim Quazoid        
0724	Mega Oboid          
0725	Mega Oboid          
0726	Mega Oboid          
0727	Mega Oboid          
0728	Oboid               
0729	Oboid               
072A	Oboid               
072B	Oboid               
072C	Tall Oboid          
072D	Tall Oboid          
072E	Tall Oboid          
072F	Tall Oboid          
0730	Tall Timpanoid      
0731	Tall Timpanoid      
0732	Tall Timpanoid      
0733	Tall Timpanoid      
0734	Mini Howloid        
0735	Mini Howloid        
0736	Mini Howloid        
0737	Mini Howloid        
0738	Howloid             
0739	Howloid             
073A	Howloid             
073B	Howloid             
073C	Mega Howloid        
073D	Mega Howloid        
073E	Mega Howloid        
073F	Mega Howloid        
0740	Mega Harmonoid      
0741	Mega Harmonoid      
0742	Mega Harmonoid      
0743	Mega Harmonoid      
0744	Harmonoid           
0745	Harmonoid           
0746	Harmonoid           
0747	Harmonoid           
0748	Tall Harmonoid      
0749	Tall Harmonoid      
074A	Tall Harmonoid      
074B	Tall Harmonoid      
074C	Mini Harmonoid      
074D	Mini Harmonoid      
074E	Mini Harmonoid      
074F	Mini Harmonoid      
0750	Tall Strumboid      
0751	Tall Strumboid      
0752	Tall Strumboid      
0753	Tall Strumboid      
0754	Mega Strumboid      
0755	Mega Strumboid      
0756	Mega Strumboid      
0757	Mega Strumboid      
0758	Strumboid           
0759	Strumboid           
075A	Strumboid           
075B	Strumboid           
075C	Mini Strumboid      
075D	Mini Strumboid      
075E	Mini Strumboid      
075F	Mini Strumboid      
0760	Mega Lullaboid      
0761	Mega Lullaboid      
0762	Mega Lullaboid      
0763	Mega Lullaboid      
0764	Tall Lullaboid      
0765	Tall Lullaboid      
0766	Tall Lullaboid      
0767	Tall Lullaboid      
0768	Lullaboid           
0769	Lullaboid           
076A	Lullaboid           
076B	Lullaboid           
076C	Mini Lullaboid      
076D	Mini Lullaboid      
076E	Mini Lullaboid      
076F	Mini Lullaboid      
0770	Mega Drilloid       
0771	Mega Drilloid       
0772	Mega Drilloid       
0773	Mega Drilloid       
0774	Drilloid            
0775	Drilloid            
0776	Drilloid            
0777	Drilloid            
0778	Mini Drilloid       
0779	Mini Drilloid       
077A	Mini Drilloid       
077B	Mini Drilloid       
077C	Mega Nebuloid       
077D	Mega Nebuloid       
077E	Mega Nebuloid       
077F	Mega Nebuloid       
0780	Nebuloid            
0781	Nebuloid            
0782	Nebuloid            
0783	Nebuloid            
0784	Squat Nebuloid      
0785	Squat Nebuloid      
0786	Squat Nebuloid      
0787	Squat Nebuloid      
0788	Tall Nebuloid       
0789	Tall Nebuloid       
078A	Tall Nebuloid       
078B	Tall Nebuloid       
078C	Mini Nebuloid       
078D	Mini Nebuloid       
078E	Mini Nebuloid       
078F	Mini Nebuloid       
0790	Slim Nebuloid       
0791	Slim Nebuloid       
0792	Slim Nebuloid       
0793	Slim Nebuloid       
0794	Mega Plinkoid       
0795	Mega Plinkoid       
0796	Mega Plinkoid       
0797	Mega Plinkoid       
0798	Plinkoid            
0799	Plinkoid            
079A	Plinkoid            
079B	Plinkoid            
079C	Mini Plinkoid       
079D	Mini Plinkoid       
079E	Mini Plinkoid       
079F	Mini Plinkoid       
07A0	Squelchoid          
07A1	Squelchoid          
07A2	Squelchoid          
07A3	Squelchoid          
07A4	Mega Squelchoid     
07A5	Mega Squelchoid     
07A6	Mega Squelchoid     
07A7	Mega Squelchoid     
07A8	Mini Squelchoid     
07A9	Mini Squelchoid     
07AA	Mini Squelchoid     
07AB	Mini Squelchoid     
07AC	Flame Shirt         
07AD	Flame Shirt         
07AE	Flame Shirt         
07AF	Flame Shirt         
07B0	Paw Shirt           
07B1	Paw Shirt           
07B2	Paw Shirt           
07B3	Paw Shirt           
07B4	Wavy Pink Shirt     
07B5	Wavy Pink Shirt     
07B6	Wavy Pink Shirt     
07B7	Wavy Pink Shirt     
07B8	Furture Shirt       
07B9	Furture Shirt       
07BA	Furture Shirt       
07BB	Furture Shirt       
07BC	Bold Check Shirt    
07BD	Bold Check Shirt    
07BE	Bold Check Shirt    
07BF	Bold Check Shirt    
07C0	Mint Gingham        
07C1	Mint Gingham        
07C2	Mint Gingham        
07C3	Mint Gingham        
07C4	Bad Plaid Shirt     
07C5	Bad Plaid Shirt     
07C6	Bad Plaid Shirt     
07C7	Bad Plaid Shirt     
07C8	Speedway Shirt      
07C9	Speedway Shirt      
07CA	Speedway Shirt      
07CB	Speedway Shirt      
07CC	Folk Shirt          
07CD	Folk Shirt          
07CE	Folk Shirt          
07CF	Folk Shirt          
07D0	Daisy Shirt         
07D1	Daisy Shirt         
07D2	Daisy Shirt         
07D3	Daisy Shirt         
07D4	Wavy Tan Shirt      
07D5	Wavy Tan Shirt      
07D6	Wavy Tan Shirt      
07D7	Wavy Tan Shirt      
07D8	Optical Shirt       
07D9	Optical Shirt       
07DA	Optical Shirt       
07DB	Optical Shirt       
07DC	Rugby Shirt         
07DD	Rugby Shirt         
07DE	Rugby Shirt         
07DF	Rugby Shirt         
07E0	Sherbet Gingham     
07E1	Sherbet Gingham     
07E2	Sherbet Gingham     
07E3	Sherbet Gingham     
07E4	Yellow Tartan       
07E5	Yellow Tartan       
07E6	Yellow Tartan       
07E7	Yellow Tartan       
07E8	Gelato Shirt        
07E9	Gelato Shirt        
07EA	Gelato Shirt        
07EB	Gelato Shirt        
07EC	Work Uniform        
07ED	Work Uniform        
07EE	Work Uniform        
07EF	Work Uniform        
07F0	Patched Shirt       
07F1	Patched Shirt       
07F2	Patched Shirt       
07F3	Patched Shirt       
07F4	Plum Kimono         
07F5	Plum Kimono         
07F6	Plum Kimono         
07F7	Plum Kimono         
07F8	Somber Robe         
07F9	Somber Robe         
07FA	Somber Robe         
07FB	Somber Robe         
07FC	Red Sweatsuit       
07FD	Red Sweatsuit       
07FE	Red Sweatsuit       
07FF	Red Sweatsuit       
0800	Blue Sweatsuit      
0801	Blue Sweatsuit      
0802	Blue Sweatsuit      
0803	Blue Sweatsuit      
0804	Red Puffy Vest      
0805	Red Puffy Vest      
0806	Red Puffy Vest      
0807	Red Puffy Vest      
0808	Blue Puffy Vest     
0809	Blue Puffy Vest     
080A	Blue Puffy Vest     
080B	Blue Puffy Vest     
080C	Summer Robe         
080D	Summer Robe         
080E	Summer Robe         
080F	Summer Robe         
0810	Bamboo Robe         
0811	Bamboo Robe         
0812	Bamboo Robe         
0813	Bamboo Robe         
0814	Red Aloha Shirt     
0815	Red Aloha Shirt     
0816	Red Aloha Shirt     
0817	Red Aloha Shirt     
0818	Blue Aloha Shirt    
0819	Blue Aloha Shirt    
081A	Blue Aloha Shirt    
081B	Blue Aloha Shirt    
081C	Dark Polka Shirt    
081D	Dark Polka Shirt    
081E	Dark Polka Shirt    
081F	Dark Polka Shirt    
0820	Lite Polka Shirt    
0821	Lite Polka Shirt    
0822	Lite Polka Shirt    
0823	Lite Polka Shirt    
0824	Lovely Shirt        
0825	Lovely Shirt        
0826	Lovely Shirt        
0827	Lovely Shirt        
0828	Citrus Shirt        
0829	Citrus Shirt        
082A	Citrus Shirt        
082B	Citrus Shirt        
082C	Kiwi Shirt          
082D	Kiwi Shirt          
082E	Kiwi Shirt          
082F	Kiwi Shirt          
0830	Watermelon Shirt    
0831	Watermelon Shirt    
0832	Watermelon Shirt    
0833	Watermelon Shirt    
0834	Strawberry Shirt    
0835	Strawberry Shirt    
0836	Strawberry Shirt    
0837	Strawberry Shirt    
0838	Grape Shirt         
0839	Grape Shirt         
083A	Grape Shirt         
083B	Grape Shirt         
083C	Melon Shirt         
083D	Melon Shirt         
083E	Melon Shirt         
083F	Melon Shirt         
0840	Jingle Shirt        
0841	Jingle Shirt        
0842	Jingle Shirt        
0843	Jingle Shirt        
0844	Blossom Shirt       
0845	Blossom Shirt       
0846	Blossom Shirt       
0847	Blossom Shirt       
0848	Icy Shirt           
0849	Icy Shirt           
084A	Icy Shirt           
084B	Icy Shirt           
084C	Crewel Shirt        
084D	Crewel Shirt        
084E	Crewel Shirt        
084F	Crewel Shirt        
0850	Tropical Shirt      
0851	Tropical Shirt      
0852	Tropical Shirt      
0853	Tropical Shirt      
0854	Ribbon Shirt        
0855	Ribbon Shirt        
0856	Ribbon Shirt        
0857	Ribbon Shirt        
0858	Fall Plaid Shirt    
0859	Fall Plaid Shirt    
085A	Fall Plaid Shirt    
085B	Fall Plaid Shirt    
085C	Fiendish Shirt      
085D	Fiendish Shirt      
085E	Fiendish Shirt      
085F	Fiendish Shirt      
0860	Chevron Shirt       
0861	Chevron Shirt       
0862	Chevron Shirt       
0863	Chevron Shirt       
0864	Ladybug Shirt       
0865	Ladybug Shirt       
0866	Ladybug Shirt       
0867	Ladybug Shirt       
0868	Botanical Shirt     
0869	Botanical Shirt     
086A	Botanical Shirt     
086B	Botanical Shirt     
086C	Anju's Shirt        
086D	Anju's Shirt        
086E	Anju's Shirt        
086F	Anju's Shirt        
0870	Kaffe's Shirt       
0871	Kaffe's Shirt       
0872	Kaffe's Shirt       
0873	Kaffe's Shirt       
0874	Lavender Robe       
0875	Lavender Robe       
0876	Lavender Robe       
0877	Lavender Robe       
0878	Blue Grid Shirt     
0879	Blue Grid Shirt     
087A	Blue Grid Shirt     
087B	Blue Grid Shirt     
087C	Butterfly Shirt     
087D	Butterfly Shirt     
087E	Butterfly Shirt     
087F	Butterfly Shirt     
0880	Blue Tartan         
0881	Blue Tartan         
0882	Blue Tartan         
0883	Blue Tartan         
0884	Gracie's Top        
0885	Gracie's Top        
0886	Gracie's Top        
0887	Gracie's Top        
0888	Orange Tie-Die      
0889	Orange Tie-Die      
088A	Orange Tie-Die      
088B	Orange Tie-Die      
088C	Purple Tie-Die      
088D	Purple Tie-Die      
088E	Purple Tie-Die      
088F	Purple Tie-Die      
0890	Green Tie-Die       
0891	Green Tie-Die       
0892	Green Tie-Die       
0893	Green Tie-Die       
0894	Blue Tie-Die        
0895	Blue Tie-Die        
0896	Blue Tie-Die        
0897	Blue Tie-Die        
0898	Red Tie-Die         
0899	Red Tie-Die         
089A	Red Tie-Die         
089B	Red Tie-Die         
089C	One-Ball Shirt      
089D	One-Ball Shirt      
089E	One-Ball Shirt      
089F	One-Ball Shirt      
08A0	Two-Ball Shirt      
08A1	Two-Ball Shirt      
08A2	Two-Ball Shirt      
08A3	Two-Ball Shirt      
08A4	Three-Ball Shirt    
08A5	Three-Ball Shirt    
08A6	Three-Ball Shirt    
08A7	Three-Ball Shirt    
08A8	Four-Ball Shirt     
08A9	Four-Ball Shirt     
08AA	Four-Ball Shirt     
08AB	Four-Ball Shirt     
08AC	Five-Ball Shirt     
08AD	Five-Ball Shirt     
08AE	Five-Ball Shirt     
08AF	Five-Ball Shirt     
08B0	Six-Ball Shirt      
08B1	Six-Ball Shirt      
08B2	Six-Ball Shirt      
08B3	Six-Ball Shirt      
08B4	Seven-Ball Shirt    
08B5	Seven-Ball Shirt    
08B6	Seven-Ball Shirt    
08B7	Seven-Ball Shirt    
08B8	Eight-Ball Shirt    
08B9	Eight-Ball Shirt    
08BA	Eight-Ball Shirt    
08BB	Eight-Ball Shirt    
08BC	Nine-Ball Shirt     
08BD	Nine-Ball Shirt     
08BE	Nine-Ball Shirt     
08BF	Nine-Ball Shirt     
08C0	Arctic Camo         
08C1	Arctic Camo         
08C2	Arctic Camo         
08C3	Arctic Camo         
08C4	Jungle Camo         
08C5	Jungle Camo         
08C6	Jungle Camo         
08C7	Jungle Camo         
08C8	Desert Camo         
08C9	Desert Camo         
08CA	Desert Camo         
08CB	Desert Camo         
08CC	Rally Shirt         
08CD	Rally Shirt         
