0000	          \r          \r          \r       Zero\r[close]
06D0	#7F09 00 00 0B#[pause 15]うーん、[pause 12]キミとは いっつも\r[string 7]で\rはなしてたんだよねぇ?\r[wait]\r[CLS]#7F09 00 00 FF#このむらに きてからというもの[pause 4]\rぜんぜんキミと\rはなしてなかったし、[pause 6]\rしんじられないなぁ、[pause 8][nickname]!\r[open]
06D1	やぁ、[pause 8]こんにちは。[pause 15]\rおひさしぶりだけど、[pause 6]\rげんきしてたぁ? [pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 15#ボクは それなりに\rたのしくすごしてたよぉ![pause 8]\r[nickname]。\r[wait]\r[CLS]キミと あわないあいだに、[pause 6]\rこうやってひっこしも\rしてみたしねぇ! [pause 8][nickname]!\r[open]
06D2	#7F09 00 00 15#まえまえから そとのせかいを\rしりたかったボク。[wait]\rひっこしをしてみたら[pause 8] せいかつが\rガラッとかわったよぉ、[pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 FF#キミとは ながいあいだ\rはなしてなかったけどぉ、[pause 6]\rいそがしくて\rそれどころじゃなかったしねぇ!\r[open]
06D3	こんばんはぁ。[pause 20]\rすっごくひさしぶりな\rきがするけど、#7F09 00 00 0B#[pause 10]ちがうかな?\r[wait]\r[CLS]#7F09 00 00 FF#ボクって むかしのことは\rすぐわすれてしまうんだけどぉ、[pause 8]\rキミのことは\rよぉく おぼえてる、[pause 8][nickname]!\r[wait]\r[CLS]たぶん、[pause 6][string 7]での\rかいわが[pause 4]\rいんしょうぶかかったから\rだとおもうんだぁ。\r[open]
06D4	#7F09 00 00 16#キミがボクに きづかないことが\rあってもぉ、[pause 12]\rボクがキミに きづかないことは\rぜったいないよぉ! [pause 8][nickname]!\r[wait]\r[CLS]#7F09 00 00 17#[string 9]しゅうかんものあいだ、[pause 6]\rキミは どこで、[pause 8]だれと、[pause 8]なにを\rしてたのぉ、[pause 8][nickname]?\r[wait]\r[CLS]しんぱいで\rしょうがなかったんだからぁ。\r[open]
06D5	#7F09 00 00 13#[pause 20]こん・[pause 10]ばん・[pause 10]は[pause 10]・[pause 6]・[pause 6]・。[wait]\rネムいけどぉ、[pause 6]\rせっかくキミとあえたから\rがんばって おきてるんだぁ。\r[wait]\r[CLS]えーっとぉ、[pause 30]ごめん[pause 6]・[pause 6]・[pause 8]・[pause 15]\rやっぱ、いまは・・・[pause 20]\rむりかも・・・[pause 25]\rしれない[pause 10]・[pause 10]・[pause 10]・。\r[wait]\r[CLS]#7F09 00 00 02#[pause 30]あぶない あぶない![pause 12]\rあやうく\rねちゃうところだったよぉ![pause 8]\r[nickname]!\r[open]
06D6	こんばんはぁ。\r[wait]\r[CLS]ボクってぇ、[pause 6]きおくりょくないから\rよくおぼえてないけどぉ、[pause 6]\rさいごにあったのって\rいつだったっけ、[pause 8][nickname]?\r[wait]\r[CLS]#7F09 00 00 06#あっ、[pause 6]そうか[pause 4] そうか[pause 8]\rたしかに\r[string 8]かげつまえだったねぇ![pause 8]\r[nickname]!\r[open]
06D7	もうこんなじかんかぁ。[pause 15]\rキミって、[pause 8]よるは\rいつもこのむらにきてたのぉ?[pause 8]\r[nickname]?\r[wait]\r[CLS][string 8]かげつまえにはなしたときには[pause 8]\rそんなこと いってなかったよぉ。\r[wait]\r[CLS]#7F09 00 00 02#えっ、[pause 10]ボク?[pause 15]\r#7F09 00 00 07#ボクのことは、[pause 7]\rどうでもいいじゃないか![pause 8]\r[nickname]!\r[open]
06D8	こんばんはぁ。[pause 15]\rすごくひさしぶりにあったけど、[pause 6]\rなんでボクが このむらにいることを\rしってるのぉ、[pause 8][nickname]?\r[wait]\r[CLS]キミには [string 11]から\rひっこしてきたことは、[pause 6]\rいってなかったはずだけど?\r[wait]\r[CLS]#7F09 00 00 12#[pause 30]ま、[pause 4]キミのことだから、[pause 6]\rそんなことは すべて\rおみとおしなんだろうねぇ![pause 8]\r[nickname]!\r[open]
06D9	#7F09 00 00 15#ウーッス! [pause 8]オハヨー![pause 8]\r[player]ーっ![wait]\r[CLS]#7F09 00 00 16#なんだよ、[pause 6]わかんないのかー?![pause 16]\r#7F09 00 00 0E#おいらだよぉ、[pause 8][nickname]![pause 12]\r[speaker]だってばーっ![wait]\r[CLS]#7F09 00 00 FF#いやぁ、なつかしいなぁ。[wait]\r[string 7]であっていらい、\r[string 8]かげつぶりだもんなぁ![wait]\r[CLS]#7F09 00 00 15#おいら、[pause 8]いまはこのむらに\rすんでいるんだ。[wait]\rまた よろしくなー、[pause 8][nickname]!\r[open]
06DA	#7F09 00 00 15#やあ、[pause 6]おはよう![wait]\r#7F09 00 00 FF#おまえさぁ、[pause 16]#7F09 00 00 0B#[player]だろ?[pause 20]\rおいらのことおぼえてる?\r[pause 8][nickname]?[wait]\r[CLS]#7F09 00 00 FF#かれこれ[string 8]かげつぶりだから\rわすれちゃったかもなぁ。[wait]\r[CLS]#7F09 00 00 15#おいら [speaker]だよ![wait]\rあれから ひっこして、いまは\rここにすんでるのさ、[pause 8][nickname]!\r[open]
06DB	#7F09 00 00 04#あーっ! [pause 8]ひさしぶりー![pause 20]\r#7F09 00 00 15#あいかわらず はやおきだなぁ\r[player]![wait]\r[CLS]#7F09 00 00 0B#えっ? [pause 8]おぼえてないのか?[pause 20]\rむりもないかなぁ。[wait]\r[CLS]#7F09 00 00 FF#[string 8]かげつもまえに\r[string 7]で はなしたっきり\rだもんなぁ、[pause 8][nickname]。\r[open]
06DC	ウーッス、[pause 8][nickname]![pause 20]\r#7F09 00 00 06#おおっ?! [pause 16]おまえ もしかして\r[player]じゃないの?[wait]\r[CLS]#7F09 00 00 0E#また あえるとは\rおもってもみなかったよー![pause 12]\rげんきにしてたのか?[wait]\r[CLS]#7F09 00 00 15#おいらは ここのくらしにも\rすっかりなれたし、[pause 8]\rまぁまぁってとこかな!\r[pause 8][nickname]!\r[open]
06DD	#7F09 00 00 15#やぁ、[player]![pause 20]\rおまえのカオ、[pause 8]ひさしぶりに\rみたぞ、[pause 8][nickname]![wait]\r[CLS]#7F09 00 00 FF#たしか [string 8]かげつまえに\r[string 7]で あったのが\rさいごだろ? [pause 8][nickname]?[wait]\r[CLS]おいら あれからひっこしたし、[pause 16]\r#7F09 00 00 15#まさか こんなところで\rあえるとは [pause 8]おもってなかったよ。\r[open]
06DE	#7F09 00 00 03#いょーお! [pause 8][player]ーっ![pause 16]\rひさしぶりだなー、[pause 8][nickname]!#7F09 00 00 15#[wait]\r[CLS]みたところ げんきそうだけど、[pause 8]\rちょーしはどうだぁ、[pause 8][nickname]?[wait]\r[CLS]#7F09 00 00 FF#おいら、さいきん こっちでも\rともだちが ふえてきたけど、[pause 8]\rやっぱり おまえにあうと\r#7F09 00 00 15#なんかホッとするよ!\r[open]
06DF	#7F09 00 00 03#ウーッス! [pause 12]コンバンハー![pause 20]\r#7F09 00 00 FF#へぇーっ、[pause 16][player]と\rまたあえるとはな![wait]\r[CLS]おいら ひっこしさきを\rおしえてなかったから、[pause 8]\r2どと あえないと\rおもってたよ、[pause 8][nickname]![wait]\r[CLS]#7F09 00 00 15#それにしても、なつかしいなぁ。[pause 12]\rげんきにしてたか? [pause 8][nickname]?\r[open]
06E0	やぁ、こんばんは、[pause 8][nickname]![wait]\r[CLS]#7F09 00 00 15#おまえと はなすのって、\rチョーひさしぶり![wait]\r[string 8]かげつぶりだぞ!\r[pause 8][nickname]!\r[open]
06E1	#7F09 00 00 04#あ、[pause 12][player]![pause 8]\r#7F09 00 00 15#なつかしいなぁ![wait]\r[CLS]#7F09 00 00 FF#[string 8]かげつまえに\r[string 7]で\rあっていらいだぞ。[wait]\r[CLS]おいらがひっこしたの\r#7F09 00 00 0B#しらなかったのか、[pause 8][nickname]?[wait]\r[CLS]#7F09 00 00 FF#まあ、せっかく こうして\rまた あえたことだし、[pause 16]\r#7F09 00 00 15#これからも\rなかよくやろうぜ、[pause 8][nickname]!\r[open]
06E2	#7F09 00 00 03#おおおっ! [pause 20]だれかとおもったら\r[player]じゃないか![pause 16]\rすっごい ひさしぶりだなぁ!#7F09 00 00 FF#[wait]\r[CLS]まえにあったのは、[pause 8]まだおいらが\r[string 7]に いたころだから、[pause 16]\rかれこれ[string 8]かげつまえだぜ![wait]\r[CLS]#7F09 00 00 15#これをきかいに\rまた なかよくしようぜ!\r[pause 8][nickname]!\r[open]
06E3	#7F09 00 00 0B#あれっ?![pause 12]\rおまえ [player]だろ?[wait]\r[CLS]#7F09 00 00 07#おいらだよ、[pause 8][speaker]だよぉ![pause 20]\rわすれちゃったのか? [pause 8][nickname]?[wait]\r[string 7]にすんでたころ[pause 8]\r#7F09 00 00 16#よく はなしをしたじゃないか![wait]\r[CLS]#7F09 00 00 17#まぁ、おぼえてないのも\rムリもないかもな。[wait]\r#7F09 00 00 FF#さいごにあってから [pause 6]もう\r[string 8]かげつだからなぁ・・・。[wait]\r[CLS]そういう おいらも、[pause 8]\rじつは こえをかけられるまで\rわすれてたけど、#7F09 00 00 15#[pause 8][nickname]![pause 20]\r#7F09 00 00 03#どぅわー[pause 4]っ[pause 2]はっ[pause 2]は![pause 8]#7F09 00 00 15#\r[open]
06E4	#7F09 00 00 15#やぁ こんばんは、[pause 8][nickname]![pause 20]\r#7F09 00 00 FF#もう たいていのひととは\rはなしたつもりだったけど、[wait]\r[CLS]こうして よなかまでおきてると[pause 16]\rしらないひとに[pause 8]・[pause 2]・[pause 2]・[pause 2]・[pause 2]・[pause 16]#7F09 00 00 06#!![wait]\rおまえ もしかして\r[player]じゃないの?[wait]\r[CLS]#7F09 00 00 07#おいらだよ![pause 20]\rほら、[pause 10][string 8]かげつまえに\r[string 7]で\rはなしたのをさいごに、[wait]\r[CLS]ずーっと あってなかった\r[speaker]だよぉ![wait]\r[CLS]#7F09 00 00 15#ひさしぶりだなぁ![pause 16]\rげんきにしてた? [pause 8][nickname]?\r[open]
06E5	#7F09 00 00 16#あさから うるせーな![pause 20]\rオレをだれだとおもってるんでぇ!\r[pause 8][nickname]![wait]\r[CLS]なくこもだまる\r[speaker]さまとは[pause 2]・[pause 2]・[pause 2]・[wait]\r[CLS]#7F09 00 00 04#あれ、[pause 12][player]?![wait]\rおめぇ、こんなところで\rなにしてやがる、[pause 8][nickname]?[wait]\r[CLS]#7F09 00 00 FF#もう かれこれ\r[string 8]かげつぶりくらいかぁ?[pause 20]\r#7F09 00 00 15#なつかしいじゃねぇか!\r[open]
06E6	#7F09 00 00 16#あさっぱらから うるせーヤツ![wait]\rと[pause 2]い[pause 2]え[pause 2]ば[pause 2]・[pause 2]・[pause 2]・[pause 12]\r#7F09 00 00 06#やっぱり[player]か![pause 8][wait]\r[CLS]#7F09 00 00 15#ずいぶん ひさしぶりだな![pause 12]\r[string 8]かげつぶりくらいかな。[wait]\r[CLS]#7F09 00 00 FF#オレ、あのあとすぐ[pause 8]\rここに ひっこしてきたんだぜ。\r[pause 8][nickname]。\r[open]
06E7	#7F09 00 00 16#おう! [pause 8]あさっぱらから\rなんで こんなとこ\rうろついてんだぁ?[wait]\r[CLS]#7F09 00 00 FF#おめぇに ひっこしさきは\rおしえてなかったし、[pause 12]\rぐうぜんの さいかいってワケか?\r[pause 8][nickname]?[wait]\r[CLS]#7F09 00 00 15#それにしても ひさしぶりだな、\r[player]!\r[open]
06E8	#7F09 00 00 15#おう! [pause 12]ひさしぶりじゃねぇか![wait]\r#7F09 00 00 FF#[string 7]で\rはなしたのをさいごに[pause 12]\rかれこれ[string 8]かげつか[pause 2]・[pause 2]・[pause 2]・。[wait]\r[CLS]はやいもんだなぁ。[pause 20]\rオレよぉ、[pause 8]あのあと\rこの[town]に\rひっこしてきたんだ。[wait]\r[CLS]#7F09 00 00 15#これからも [pause 8]ときどきは\rあそびにきてくれよ、[pause 8][nickname]!\r[open]
06E9	#7F09 00 00 06#あっ!![pause 8][wait]\r#7F09 00 00 16#おめぇ、[pause 8]たずねてくるの\rおそいってんだよ、[pause 8][nickname]![wait]\r[CLS]もう [string 8]かげつも\rすぎてるんだぜ![wait]\r[CLS]#7F09 00 00 FF#もっとも、[pause 6]おめぇに\rひっこしさきは\rおしえてなかったから、[wait]\r[CLS]よくみつけたって\rほめてやるべきか[pause 2]・[pause 2]・[pause 2]・。[wait]\r#7F09 00 00 15#ま、よくきたな、[pause 8]\r[player]!\r[open]
06EA	おーっ![pause 16]\r[player]じゃねぇか![wait]\r#7F09 00 00 16#あいかわらず シケたかお\rしてやがるなぁ、[pause 8]おめぇはよぉ![wait]\r[CLS]#7F09 00 00 0B#え? [pause 8]なんでこんなトコに\rいるのかって?[pause 16]\r#7F09 00 00 FF#ひっこしたんだよ。[wait]\r[CLS]こっちへきて、おおかた\r[string 8]かげつになるかな。\r[pause 8][nickname]。\r[open]
06EB	#7F09 00 00 0B#ん? [pause 8]おめぇは[pause 2]・[pause 2]・[pause 2]・[pause 2]・[pause 2]・[pause 16]#7F09 00 00 06#!![wait]\rおぉーーっ![pause 12]\r[player]じゃねぇか![wait]\r[CLS]#7F09 00 00 15#ひさしぶりだなぁ。[pause 12]\r#7F09 00 00 FF#ま、[pause 8]げんきそうで なによりだ!\r[pause 8][nickname]!\r[open]
06EC	#7F09 00 00 06#おっと、[pause 8]こいつはたまげたぜ![pause 20]\r#7F09 00 00 0B#おめぇ [player]か?![wait]\r[CLS]#7F09 00 00 FF#[string 7]で はなしたのが\rさいごだから[pause 2]・[pause 2]・[pause 2]・[pause 2]・[pause 2]ってことは、[pause 8]\r[string 8]かげつぶりだぜ![pause 20]\r#7F09 00 00 15#ひさしぶりだなぁ、[pause 8][nickname]!\r[open]
06ED	#7F09 00 00 02#わっ! [pause 20]その げんきすぎる\rばかデカイこえは[pause 2]・[pause 2]・[pause 2]・。[wait]\r[CLS]#7F09 00 00 16#やっぱり [player]かっ![pause 16]\r#7F09 00 00 FF#わざわざオレをさがしにきたのか?[wait]\r#7F09 00 00 16#ちっ! [pause 8]ちがうのか[pause 2]・[pause 2]・[pause 2]・[wait]\r[CLS]#7F09 00 00 FF#けど、ちがうってことは\rまったくのぐうぜん\rってことだろ? [pause 8][nickname]?[wait]\r[CLS]#7F09 00 00 15#オレたち、なにか\rえんがあるのかもしれねぇな。[wait]\r#7F09 00 00 FF#クサレえんっていうヤツかも\rしんねぇけどよ!\r[open]
06EE	#7F09 00 00 02#うわぁーーーっ![pause 20]\r#7F09 00 00 07#いのちだけは、おたすけ[pause 2]・[pause 2]・[pause 2]・[pause 16]#7F09 00 00 06#!![wait]\r[CLS]あ[pause 2]・[pause 2]・[pause 2]・[pause 2]おめぇは[pause 2]・[pause 2]・[pause 2]・。[wait]\r#7F09 00 00 15#よ、[pause 8]よぉ![pause 20]\rひさしぶりだな、[player]![wait]\r[CLS]#7F09 00 00 16#な、[pause 12]なにを\rクスクスわらってやがるんだ?![pause 12]#7F09 00 00 FF#[pause 8]\r#7F09 00 00 01#[pause 8]ぶっとばすぞ、コノヤロー!\r[open]
06EF	#7F09 00 00 16#おい! [pause 20]こんなよなかに\rあやしいヤツだな [pause 4]おめぇ![pause 12]#7F09 00 00 FF#[pause 8]\r#7F09 00 00 16#ちょっと ツラみせろっ![pause 8]\r・[pause 2]・[pause 2]・[pause 12]#7F09 00 00 06#!![pause 8][wait]\r[CLS]#7F09 00 00 03#こんなマヌケヅラ[pause 8]\rいちどみたら[pause 8]\rわすれようがねぇぜ、[pause 8][nickname]!#7F09 00 00 15#[wait]\r[CLS][player]っ![pause 8]\rひさしぶりだなーっ![pause 8]\r#7F09 00 00 03#がー[pause 2]っ[pause 2]はっ[pause 2]はっ[pause 2]は![pause 8]\r[open]
06F0	[pause 8]おーっ! [pause 8][player]![pause 16]\rひさしぶりだな![pause 8][wait]\r[CLS]#7F09 00 00 FF#えーっと、[pause 20][string 7]で\rはなしたのが さいごだから[pause 2]・[pause 2]・[pause 2]・[pause 12]\r[string 8]かげつぶりだぜ、[pause 8]おい![wait]\r[CLS]#7F09 00 00 15#げんきにしてたのか、[pause 8]おめぇ!\r[pause 8][nickname]!\r[open]
06F1	#7F09 00 00 0B#あら、[pause 8]ひょっとして\rおたく [player]ちゃん?![pause 20]\r#7F09 00 00 15#ひさしぶりね、[pause 8][nickname]![wait]\r[CLS]#7F09 00 00 FF#ひっこしさきを おたくに\rおしえてなかったし、[pause 12]\rまさか またあえるとは\rおもってなかったわ、[pause 8][nickname]。\r[open]
06F2	#7F09 00 00 03#あらーっ![pause 12]\r[player]ちゃん\rおひさしぶりねぇ![pause 12]\r#7F09 00 00 0B#[string 8]かげつぶりくらい?[wait]\r[CLS]#7F09 00 00 0B#えっ? [pause 8]なんであたしが\rここにいるのかって?[wait]\r[CLS]#7F09 00 00 FF#おたくには いってなかったっけ?[pause 8]\rあたし ひっこしてきたのよ。[pause 12]\rいまは ここにすんでるの、[pause 8]\r[nickname]!\r[open]
06F3	えーっと[pause 2]・[pause 2]・[pause 2]・#7F09 00 00 0B#[pause 2]おたく だれ?[wait]\r[player]?[pause 12]\r#7F09 00 00 FF#・[pause 2]・[pause 2]・[pause 2]そんなしりあい\rいたかしら?[wait]\r[CLS]#7F09 00 00 0B#[string 8]かげつまえに\r[string 7]で あったぁ?[wait]\r[CLS]#7F09 00 00 16#そんなむかしのこと\rおぼえてるわけないでしょ![wait]\r[CLS]#7F09 00 00 FF#でも まあ、[pause 8]とりあえず\rおはようさん、[pause 8][nickname]。\r[open]
06F4	あらぁ、[player]ちゃん。[pause 8]\rずいぶん ながいあいだ\rごぶさただったわねぇ。[wait]\r[CLS]#7F09 00 00 0B#たしか[string 7]で\rあっていらいだから[pause 2]・[pause 2]・[pause 2]・[pause 10]\r[string 8]かげつぶりかしら。[wait]\r[CLS]#7F09 00 00 FF#あたし あれからここに\rひっこしちゃったから、[pause 8]\rムリもないんだけどね、[pause 8][nickname]。\r[open]
06F5	#7F09 00 00 0B#あら、[pause 6][player]ちゃん?[wait]\rまさか またあえるとは\rおもってなかったわ、[pause 8][nickname]。[wait]\r[CLS]#7F09 00 00 FF#こんなところまで\rあしを はこんでいるのねぇ。[wait]\r[CLS]#7F09 00 00 15#がんばるのもいいけど、\rほどほどにね、[pause 8][nickname]。\r[open]
06F6	#7F09 00 00 0E#あらら、[pause 8][player]ちゃん![pause 8]\rひさしぶりーっ、[pause 8][nickname]![wait]\r[CLS]#7F09 00 00 15#わざわざ あたしを\rさがしにきてくれたの?[pause 20]\rまさかね!\r[open]
06F7	#7F09 00 00 06#あっ![pause 12]\r[player]ちゃんでしょ?![pause 12]\r#7F09 00 00 FF#あたしのこと おぼえてる?[wait]\r[CLS]そうよ、[pause 8][speaker]よ。[pause 8]\r#7F09 00 00 0E#おぼえててくれたなんて\rうれしいわ、[pause 8][nickname]![wait]\r[CLS]#7F09 00 00 15#それにしても ひさしぶりねぇ。[pause 16]\r[string 8]かげつぶりって\rところかしら、[pause 8][nickname]。\r[open]
06F8	#7F09 00 00 15#あらーっ![pause 12]\r[player]ちゃん\rおひさしぶり、[pause 8][nickname]![wait]\r[CLS]#7F09 00 00 FF#ここへ ひっこしてきてから\rあんまり おともだちが\rできなくってさぁ、[wait]\r[CLS]#7F09 00 00 17#あたし ちょっと\rさみしかったのよねー。[wait]\r#7F09 00 00 15#これからも ときどきは\rあそびにきてよね、[pause 8][nickname]!\r[open]
06F9	#7F09 00 00 06#あ、[pause 8][player]ちゃんでしょ?[pause 20]\r#7F09 00 00 15#なつかしいなぁ、[pause 8][nickname]。[wait]\r[CLS]#7F09 00 00 0B#どう? [pause 12]かぐとか\rたくさん あつめてる?[wait]\r[CLS]#7F09 00 00 16#まさか ずーっと\rさぼってたんじゃない?\r[pause 8][nickname]?\r[open]
06FA	#7F09 00 00 07#キャーっ![pause 20]\r#7F09 00 00 17#・[pause 2]・[pause 2]・[pause 2]・[pause 2]・[pause 8]#7F09 00 00 FF#なーんだ、[pause 8]\r[player]ちゃんかぁ。[wait]\r[CLS]#7F09 00 00 15#よなかに とつぜん\rたずねてくるところなんて、[pause 8]\rおたく [pause 4]むかしのまんまねぇ!\r[pause 8][nickname]!\r[open]
06FB	#7F09 00 00 16#ちょっとぉ![pause 12]\rなんじだとおもってんの?[wait]\r[CLS]#7F09 00 00 04#あれ、[pause 8]もしかして\r[player]ちゃん?\r[pause 8][nickname]?[wait]\r[CLS]#7F09 00 00 FF#おたく いつも\rこうだったもんねぇ。[pause 20]\r#7F09 00 00 15#なんか なつかしい、[pause 8]あ[pause 2]は[pause 2]は。\r[open]
06FC	#7F09 00 00 06#あら![pause 12]\r#7F09 00 00 FF#なんか みおぼえがあるひとだと\rおもったら、[pause 8]おたく\r[player]ちゃんじゃないの![wait]\r[CLS]#7F09 00 00 15#あいかわらず、よなかに\rウロウロしてんのねぇ。[pause 12]\rげんきにしてたぁ?\r[pause 8][nickname]?\r[open]
06FD	#7F09 00 00 15#おンや、[pause 8]いらっしゃい。[wait]\r[CLS]にちようの ごぜんちゅうといえば[pause 20]\rカブうりひとすじ 60ねん、[pause 16]\r#7F09 00 00 15#この [pause 8]カブリバ ばーさんに[pause 8]\rおまかせだよ!\r[jump 06FE]\r[open]
06FE	#7F09 00 00 FF#ところで [pause 4]おきゃくさん、[pause 20]\rカブについての せつめいは[pause 8]\r#7F09 00 00 0B#ききなさるかね?[menu 002F 0030][default][wait]#7F0D#[selected 1 06FF][selected 2 0709]\r[jump2sel]\r[open]
06FF	#7F09 00 00 FF#えー[pause 4]っと[pause 2]・[pause 2]・[pause 2]・[pause 16]\rまずはじめに いうておかねば\rならんことじゃがな。[wait]\r[CLS]このカブは、[pause 8]たべものには\rちがいないのじゃが[pause 2]・[pause 2]・[pause 2]・[wait]\r[CLS]じぶんが たべるために\rかいなさる おひとは、[pause 12]\rまぁ [pause 8]ひとりもおらんといって\rエエじゃろうな。[wait]\r[CLS]みんな、[pause 8]このカブを[pause 8]\r#7F09 00 00 0E#かったり うったりして、[pause 16]\r#7F09 00 00 15#おかねもうけを するために[pause 12]\rりようして いなさるのじゃよ。\r[jump 0700]\r[open]
0700	#7F09 00 00 0B#もっと ききなさるかね?[menu 002F 002E][default][wait]#7F0D#[selected 1 0701][selected 2 0709]\r[jump2sel]\r[open]
0701	#7F09 00 00 FF#むらに たぬきちのおみせが\rあるのは [pause 10]しってなさるじゃろう?[wait]\r[CLS]#7F09 00 00 15#あそこで カブをうることが[pause 8]\rできるんじゃよ。[wait]\r[CLS]カブのねだんは [pause 8]まいにち[pause 10]\r#7F09 00 00 0E#あがったり [pause 8]さがったり[pause 8]するだで、#7F09 00 00 FF#[wait]\r[CLS]ワシからかったねだんより[pause 8]\rたかくなったときに うれば[pause 16]\r#7F09 00 00 15#もうかるってワケじゃよ。[wait]\r[CLS]はんたいに [pause 8]やすいときに うると\r#7F09 00 00 17#そんを してしまうというのは、[pause 12]\r#7F09 00 00 FF#いわんでも わかるじゃろうな。\r[jump 0702]\r[open]
0702	#7F09 00 00 0B#まだ ききなさるかね?[menu 002F 002E][default][wait]#7F0D#[selected 1 0703][selected 2 0709]\r[jump2sel]\r[open]
0703	#7F09 00 00 FF#ここからが いちばん\rじゅうようなことなんじゃが[pause 2]・[pause 2]・[pause 2]・[wait]\r[CLS]#7F09 00 00 16#このカブは [pause 8]1しゅうかん たつと[pause 8]\rくさってしまうんじゃよ。[wait]\r[CLS]#7F09 00 00 FF#ワシは まいしゅう [pause 10]にちようびに[pause 8]\rカブをうりにくるだで、[wait]\r[CLS]どようび [pause 10]たぬきのみせが\rえいぎょうしている あいだに[pause 4]\rうってしまわねば [pause 20]#7F09 00 00 16#お[pause 4]きゃ[pause 4]く[pause 4]さ[pause 4]ん、[wait]\r[CLS]#7F09 00 00 17#おおぞん することになるだでね。[pause 20]\r#7F09 00 00 FF#それだけは [pause 8]きをつけたほうが\rエエよー。[wait]\r[CLS]たとえ そのときのねだんが[pause 8]\rかったときより やすくても、[pause 20]\r#7F09 00 00 17#くさらせて おおぞんするより\rマシじゃからねぇ。[wait]\r[CLS]#7F09 00 00 FF#まぁ[pause 2]・[pause 2]・[pause 2]・[pause 12]べつの ほうほうが\rなくは ないんじゃが[pause 2]・[pause 2]・[pause 2]・。[wait]\r[CLS]むらごとに [pause 10]そのひの\rカブのねだんは ちがうだで、[pause 20]\rよそのむらまで でかけていけば[pause 14]\r#7F09 00 00 12#も[pause 2]し[pause 2]か[pause 2]し[pause 2]た[pause 2]ら[pause 2]・[pause 2]・[pause 2]・。[wait]\r[CLS]#7F09 00 00 15#まぁとにかく、[pause 12]カブは\rうるタイミングが すべてじゃ[pause 16]\rということだで。\r[jump 0704]\r[open]
0704	#7F09 00 00 0B#もっと ききなさるかね?[menu 002F 002E][default][wait]#7F0D#[selected 1 0705][selected 2 0709]\r[jump2sel]\r[open]
0705	#7F09 00 00 06#あぁ、[pause 8]それからもうひとつ。[wait]\r[CLS]#7F09 00 00 FF#カブは [pause 12]10カブ、[pause 8]50カブ、[pause 8]\r100カブと、[pause 16]3しゅるいの[pause 8]\rた[pause 4]ば [pause 10]になっておってな、[wait]\r[CLS]かうときも うるときも[pause 12]\rたばごとでしか とりひき\rできないんじゃよ。[wait]\r[CLS]たとえば おきゃくさんが[pause 8]\r50カブのたばを[pause 10]\r1たば [pause 6]かいなさったとして、[wait]\r[CLS]あとで 10カブだけ\rうりたい [pause 8]とおもっても、[pause 12]\rそれは できない[pause 6]ってワケじゃよ。[wait]\r[CLS]そういうばあいは[pause 12]\rおなじ 50カブかうにしても、[wait]\r[CLS]あらかじめ [pause 8]10カブのたばを[pause 8]\r5たば [pause 8]かうようにせねば\rダメだでね。[wait] \r[CLS]#7F09 00 00 15#ながかった カブのせつめいも[pause 12]\rこれでやっと おしまいですじゃ。\r[jump 0706]\r[open]
0706	#7F09 00 00 FF#まさかとは おもうが[pause 12]\rもういっかい #7F09 00 00 0B#[pause 4]ききなさるかね?[menu 002F 002E][default][wait]#7F0D#[selected 1 0707][selected 2 0708]\r[jump2sel]\r[open]
0707	#7F09 00 00 07#ひょえー[pause 4]っ! [pause 20]#7F09 00 00 17#お、[pause 8]おきゃくさん。[pause 16]\rきは たしかかね?[pause 12]\r#7F09 00 00 10#[pause 8]と[pause 2]ほ[pause 2]ほ[pause 2]ほ[pause 2]・[pause 2]・[pause 2]・#7F09 00 00 17#[wait]\r[CLS]#7F09 00 00 FF#よぉー[pause 4]くきいて[pause 12]\rしっかり おぼえるのじゃぞ。[pause 20]\r#7F09 00 00 17#ふぅー[pause 4]・[pause 2]・[pause 2]・\r[jump 06FF]\r[open]
0708	#7F09 00 00 17#ホッ[pause 6]・[pause 2]・#7F09 00 00 FF#[pause 2]・。[pause 20]\rもういっかい くりかえせって\rいわれたら[wait]\r[CLS]#7F09 00 00 16#このカブを [pause 6]おきゃくさんに\rなげつけてやろうと\rおもっていたのですじゃ。[pause 20]\r#7F09 00 00 03#にょ[pause 2]ほ[pause 2]ほ[pause 2]・[pause 2]・[pause 2]・。\r[jump 070A]\r[open]
0709	#7F09 00 00 04#あン[pause 4]れ、[pause 8]そうかね。[pause 20]\r#7F09 00 00 15#そいつは ありがたいのぉ。[wait]\r[CLS]いちいち せつめいするのも[pause 10]\rめんどくせぇ だでねぇ。[pause 20]\r#7F09 00 00 03#にょ[pause 2]ほ[pause 2]ほ[pause 2]・[pause 2]・[pause 2]・。\r[jump 070A]\r[open]
070A	#7F09 00 00 FF#さぁ[pause 4]てと、[pause 12]きょうは[pause 8]#7F09 09 00 01#\r1カブ [pause 8][string 1]ベル\rじゃよ。[pause 20]\r#7F09 00 00 0B#かいなさるかね?[menu 002A 002B 002C 002D][default][wait]#7F0D#[selected 1 070B][selected 2 070C][selected 3 070D][selected 4 070E]\r[jump2sel]\r[open]
