0000	これはツールメイル0\r\r\r\r\r\r
00AD	おてがみとおくりもの\rりょうほう ありがとう。\rなんだか とっても うれしいのでちょっとでかけて おみやげに\rフルーツを とってきました。\rもらってください。\r\r
00AE	ヤアヤア! てがみサンキュー!\rついでにプレゼント、サンキュー!ちょうど めずらしいフルーツが\rあったから どうふうするぞー!\rこれをもとに かじゅえんつくってたくさんとれたら くれよなー!\r\r\r
00AF	おう! プレゼントまでくれて\rうれしいじゃねぇか!\rいいきぶんに させてもらったし\rオレもおかえしするぜ。\rよそからもちかえったフルーツだ。あじわって くうんだぜ。\r\r
00B0	おてがみに おくりものを\rつけるなんて、きがきくわね。\rちょっと みなおしたわ!\rこのフルーツは ごほうびよ。\rたべるなり うるなり うめるなりスキにしていいわよ。\r\r
00B1	ステキなおくりものを くださってありがとうございました。\rそんなに きをつかわないで\rくださいね。 おてがみだけでも\rじゅうぶんなんですよ。おれいに\rかぐを おおくりしますね。\r\r
00B2	ヤッホー! げんきー?\rアタイってば、ちょーゴキゲンよ!プレゼントつきのおてがみを\rもらっちゃったからねー!\rきぶんイイし アタイもおくるね!たいせつに つかってよね!!\r\r\r
00B3	おてがみ ありがとぉ。\rプレゼントも ありがとぉ。\rちょうど ほしかったものだから\rとくべつ うれしかったよぉ!\rボクも プレゼント おくるね。\r[string 1]です。\r
00B4	Yo! どんな てがみをくれるかたのしみにしてたぞー!\rそしたら、プレゼントつきの\rNiceな てがみがきたから\rGreatな かんじだぜー!\r\r\r
00B5	プレゼントつきのてがみ\rありがとよ。うれしかったぜぇ!\rそんなに きをつかわねぇで\rかたのちからをぬいて\rこれからも なかよくしてくれよ。\r\r
00B6	さっそく おてがみをくれて\rありがとね。\rおたくって せっかちなの?\rあはは、じょうだんよ!!\rたいしたものは あげられないけど[string 1] あげるわ。\r\r
00B7	かんげきです! すぐに\rおてがみを もらえたばかりか\rおくりものまで いただいて。\rこれからも ずっと\rなかよくしてくださいね。\r\r
00B8	ハイハーイ! アタイよー!!\rおてがみ あんがとねー!\rこれからも ドンドン\rおてがみ ちょうだいねー!\rやくそくのしるしに この\r[string 1]をあげるね!\r
00B9	キミからとどいた おてがみ\rとっても うれしかったよぉ。\rまた いつでも\rおてがみ ちょうだいね。\rいつでも まってるからねぇ!\r\r
00BA	こんちはー! さっそくのてがみ\rめっちゃサンキュー! おまえってほんとに イイヤツだなー!\rプレゼントをもらったからって\rわけじゃ ないんだぞー!\rカンチガイするなよな、あははー!\r\r
00BB	よぉ! さっそく てがみを\rかいてくれて、ありがとよ。\rもらったてがみは、だいじに\rとっておくからな!\rこれからも たくさんてがみを\rよこしてくれよ。\r
00BC	おげんき?\rあたしはげんきよ。もちろんよ!\rおたくから あんなにステキな\rおてがみを もらえるなんて\rおもってなかったから ビックリ!フフフ、プレゼントによわいのよ!\r\r
00BD	「ファーウェイはくぶつかん」ではカセキの むりょうかんていを\rおこなっております\rほりだしたカセキを おてがみで\rおおくりくだされば、\rひょうほんにして おかえしします\r\r
00BE	このたびは、\rたいへん けっこうなしなものを\r「きふ」していただきまして\rまことに ありがとうございましたけんきゅうかつどうに\rやくだたせて いただきます\r\r
00BF	せんじつ おおくりいただきましたカセキは、\r[string 1] でした\rひょうほんを おかえししますのでおおさめください\rありがとうございました\r\r\r
00C0	よび\r\r\r\r\r\r
00C1	よび\r\r\r\r\r\r
00C2	よび\r\r\r\r\r\r
00C3	よび\r\r\r\r\r\r
00C4	よび\r\r\r\r\r\r
00C5	あれって、おてがみ・・・?\rなにが いいたいのか\rぜんぜん わかりませんでした。\rこれからは、わかるように\rちゃんと かいてくださいね。\rおねがいします。\r
00C6	おてがみ ありがとうって\rいちおう いっておきますけど\rあんまり うれしくなかったわ。\rわたしには、りかいできなくて\rちょっと、かなしかったです。\rつぎのときは よろしくね。\r
00C7	いたずらだったのかしら?\rなにが いいたいのか\rぜんぜん わからないし\rバカにされているみたいで\rとっても つらかった。\rむずかしいの にがてです。\r
00C8	ちょっと! へんな おてがみ\rよこさないでよ!\rなにが いいたいのか\rさっぱり わかんないわよ!\rむずかしいことばは、しらないの!\r\r
00C9	がんばって りかいしようと\rおもってるんだけどー、\rちょっと むずかしすぎるよ!\rあれって、イタズラなの?\rそれとも あんごう?\rじゃなきゃ、アタイがダメなの?\r
00CA	ちょっと! へんな おてがみ\rよこさないでよ!\rむずかしすぎちゃって\rうれしくないんだから!\rあんな おてがみだったら\rもう いらないからね!!\r
00CB	なんだかなぁ・・・\rせっかく おてがみもらっても\rあれじゃ うれしくないよぉ。\rこんど かいてくれるときは\rわかるように かいてよねぇ。\rたのむよぉ [string 1]くん!\r
00CC	せっかく おてがみを\rもらったんだけどぉ\rよく わかんなかったんだぁ\rボクにも わかるように\rかいてくれなくっちゃ\rダメなんだからね、たのむよぉ!\r
00CD	なんなのぉ? あのてがみ・・・\rおてがみを もらっても\rいみが わからなかったら\rうれしくないよぉ。ボクが\rべんきょうぶそくなんだけど\rてかげんしてほしいなぁ。\r
00CE	なんだよ、あのてがみは!!\rてぬきだ、てぬきだーーー!\rあんなてがみ もらっても\rうれしくないぞー!\rおいらにも わかるように\rかいてほしいぞー。たのむよー!\r
00CF	オマエー ナニイッテマスカー?\rゼッンゼーン\rリカイデキマセーン!!\rモスコシ ヤサシーク\rカイテクラサーイ!\rヨロシクネー!\r
00D0	なんだよ、[string 1]ー!\rどうかしちゃったのか?\rあんなむずかしいの おいら\rよめないぞー!\rつまんないし、ガックリだし\rやめてくれよなー。\r
00D1	おぅおぅ むずかしいぞ コラ!\rてがみってのは、\rあいてに わかるように\rかいてもらいてぇな。 オレには\rありゃ、なんかいすぎるぜぇ!\r\r
00D2	よぉ、[string 1]!\rオレは、あんまり むずかしい\rことばは、わからねぇんだよ。\rもうちっとだけ、わかりやすい\rことばで てがみをくれねぇか?\rな、たのむぜぇ。\r
00D3	やめてくれ、やめてくれ!\rおめぇのてがみは、むずかしいぜ!オレのしらねぇ ことばばっかり\rならんでやがったぜ。\rあたまが いたくなるからよぉ\rおてやわらかにたのむぜ、ほんと。\r\r
00D4	おたくがくれた てがみのイミ\rほとんど わからなかったの。\rもうすこし、やさしいことばで\rかいてくれると\rわかるかもしれないわ。\rこんどから、よろしくね。\r
00D5	あたしのこと そんなに\rイジメなくったっていいじゃない。むずかしい おてがみをよこして\rあたしが りかいできないのを\rたのしんでるんでしょ!\rもう、グレテヤルー!!\r\r
00D6	ハァ、むずかしくって おてあげ。おたくがくれた おてがみ\rほとんど わからなかったわ。\rもうちょっと、わかりやすく\rかいてくれても いいんじゃない?つぎから、おてやわらかにね。\r\r\r
00D7	メリー・クリスマス!!\r\r サンタさんからの\r    プレゼントだよ!!\r\r\r
00D8	わざわざ きてもらって\rおてがみまでもらったけど\rちゃんと、よめませんでした。\rせっかくだから\rわかるように かいてください。\rおねがいします。\r
00D9	とおくまで あそびにきてくれて\rおてがみもくれたけど\rよみにくかったので、ざんねん。\rわたしの べんきょうぶそくです。これからも がんばるので\rつぎのときも よろしくね。\r\r
00DA	ちょっと、むずかしすぎました。\rわざわざとおくまできて\rおてがみをくれたのに ざんねん。もうすこし やさしく\rかいてくれたら わかるかも。\rつぎに きたいしちゃいます。\r\r
00DB	ちょっと! ややこしい おてがみよこさないでよ!\rわざわざ、とおくまできて\rそんなに むずかしいおてがみ\rかかなくったって、いいじゃない!ほんとに、イジワルなんだから!!\r\r\r
00DC	せっかく とおくからきてくれた\rひとがくれた おてがみだしー\rがんばって りかいしようと\rおもってるんだけどー、\rダメだった、ゴメン!\rもっと、わかりやすくかいてね!\r
00DD	ちょっと! ゲキムズなおてがみ\rかかないでちょうだいよ!\rせっかく かいてくれたから\rいっしょうけんめいよんだけど\rやっぱ、げんどをこえてるワ!\rもう、ギブアップ!\r
00DE	ざんねんだなぁ・・・\rせっかく おてがみもらっても\rあれじゃ なんだかわかんないよ。こんど かいてくれるときは\rもうちょっと、よみやすくかいてねたのむよぉ [string 1]くん!\r\r\r
00DF	せっかく おてがみを\rもらったんだけどぉ\rざんねんながら、ギブアップ!\rボクにも わかるように\rかいてくれなくっちゃ\rね、おねがいだよぉ。\r
00E0	なんなのぉ? あのてがみ・・・\rとおくからきてくれて せっかく\rおてがみまで かいてくれたから\rいっしょうけんめい よんだけど\rむずかしくって あきらめたよぉ。こんどは、やさしくかいてよねぇ。\r\r
00E1	なんだよ、あのてがみは!!\rナンカイすぎるぞ!\rワクワクして よみはじめたのに\rあれじゃ、ガックリだー!\rいやまて! あれは、もしかして\rヒミツのあんごうだったのかも!!\r
00E2	なあなあ、せっかくだからさー\rもうちょっとだけ、かんたんに\rかいてくれないか?\rな、[string 1]ー!\rおいらにも わかるように\rかいてほしいんだよぉ!!\r
00E3	なんだよ、[string 1]ー!\rおいらに かいてくれたんじゃ\rないのか? むずかしすぎだぞー!おいらがよめなくっても いいならかまわないんだけどさぁ。\rちょっと つまんないぞ。\r\r\r
00E4	おぅおぅ なんじゃ ありゃ!\rオレには あんなに むずかしい\rてがみは、りかいできねぇ!\rもう、あきらめたからな!\rつぎからは、もうちっとだけ\rわかりやすく かいてくれよ。\r
00E5	よぉ、[string 1]!\rせっかく とおくからきたんだし\rオレにも わかるように\rてがみをかいてくれたら\rよかったのによぉ。\rまぁ、べつに いいんだけどな。\r
00E6	なんでぇなんでぇ!\rこまらせないでくれよ!\rオレのりかいのげんかいを\rこえたてがみを かくんじゃねぇ!もうちっとだけ\rおてやわらかに たのむぜぇ!\r\r
00E7	そりゃ、あたしだって\rよみかきが かんぺきに\rできるわけじゃないけど\rどりょくはしてるんだから\rもうすこしだけ わかるように\rかいてくれても いいんじゃない?\r
00E8	おたく、あたしにイジワルして\rたのしいの? そりゃ あたしってくちはわるいし、たかびしゃだっていわれるけど、なかよくしようと\rおもって、いっしょうけんめい\rやってるんだからね。\r\r\r
00E9	あたしだって がんばって\rりかいしようと してるんだから\rもうちょっとだけ わかりやすい\rことばで かいてくれたって\rいいとおもうんだけど・・・\rつぎからは、おてやわらかにね。\r
00EA	おたんじょうび\rおめでとうございます。\r\rこれから ますます\rがんばってくださいね。\r\r
00EB	HAPPY BIRTHDAY\r[string 1]さん!!\r\rいくつになっても\rわたしと おともだちで\rいてくださいね。\r
00EC	おたんじょうび\rおめでとうございます、\r[string 1]さん!\r\rつまらない プレゼントですけど\rうけとってくださいね。\r
00ED	Happy Birthday!\r\rこれからも ずーっと\rなかよくしてね、よろしくー!!\r\r\r
00EE	ヤッホー!\rおたんじょうび おめでとー!\r\rプレゼント なにがいいか\rすっごく なやんじゃった!\r\r
00EF	おたんじょうび おめでとー!\r\rアタイ、[string 2]からの\rプレゼントは、\r[string 3]でーす!\r\r
00F0	おたんじょうび\rおめでとうございまぁーす!\r\rいつまでも いつまでも\rボクと なかよくしてねぇ!\r\r
00F1	ハッピー バースデー\rトゥー [string 1]くーん!\rこのむらで いちばんなかよしの\r[string 1]くんに\r[string 3]を\rおくりまーす!\r
00F2	おたんじょうび\rおめでとうございまぁす!\r\rいちばんの おともだちの\rたんじょうびだし、\rとっても うれしいよぉ!\r
00F3	[string 1]ー、\rたんじょうび おめでとー!!\r\r1ねんぶりの たんじょうびを\rおもうぞんぶん\rたんのうしてくれー!\r
00F4	たんじょうび、おめでとー!\r[string 1]ーーー!\r\rプレゼントに\r[string 3]を\rよういしたぞー、よろこべー!\r
00F5	ハッピー バースデー!!\r[string 1]ーーー!!\r\rおいらの いちばんの\rともだちだから、プレゼントも\rふんぱつしたぞー! なんてなー!\r
00F6	おう、[string 1]、\rたんじょうび おめでとう!\r\rからだばっかじゃなく\rこころも せいちょうしろよ!\rガーハッハッハッ!!\r
00F7	[string 1]、\rたんじょうび おめでとう。\r\rきょうのおめぇは\rきのうとは ひとあじちがうぜぇ\r\r
00F8	めでてぇじゃねぇか[string 1]\rたんじょうび おめでとう!\r\rおめぇには、とくべつ\rせわになってるからな、\rちゃんと プレゼントをおくるぜ。\r
00F9	おたんじょうび おめでとう\r\rいくつになっても\rいまの [string 1]ちゃんで\rいてほしいわね。\r\r
00FA	HAPPY BIRTHDAY\r[string 1]ちゃーーーん!\r\rおたくには、とくべつ\rおせわになってるから\rちゃんと、おいわいをおくるわね。\r
00FB	またひとつ としをとったわね。\rおたんじょうび おめでとう\rで、よかったのかしら? フフン。おいわいに\r[string 3]をおくるわね\r\r\r
00FC	こんにちは、[string 1]さん!\rこんど わたしは、\r[string 3]むらに\rひっこしたんです。\rいちど あそびにきてください。\rおまちしています。\r
00FD	わたし、ひっこしたんですよ。\r[string 4]むらでは、\rたいへん おせわになりました。\rおちかくに おこしのさいは\rぜひ、おたちよりください。\r\r
00FE	このたび、[string 3]むらに\rおひっこししました。\rぜひ いちど\rあそびにきてくださいね。\rいつでも おまちしています。\r\r
00FF	ハーイ! [string 1]ちゃん!\rこんど、[string 3]むらに\rおひっこし しちゃいました!\rいちど あそびにきてね!\rまってるからね、バイバーイ!!\r\r
0100	ついに おひっこししちゃった。\r[string 4]むらでは\rとっても おせわになりました。\r[string 1]ちゃんのこと\rわすれないからね! さようなら。\r\r
0101	こんにちは、[string 1]ちゃん\rアタイ、[string 3]むらに\rおひっこししました。\rチョット とおいので\rまいにちは あえないけど\rたまには、あそびにきてね!!\r
0102	[string 1]くん こんにちは。\r[string 4]むらを はなれると\rキミとの おもいでばかりが\rよみがえってきます。\rぜったいに キミのこと\rわすれないからね。さようなら・・\r
0103	こんど、[string 3]むらに\rひっこしました。\rあたらしい おともだちも\rできたよ。 たまには\rあそびにきてほしいなぁ。\rぜったいに きてよね!!\r
0104	こんにちは。 きづいてないかも\rしれないけどぉ、とつぜん\rひっこしちゃいました。\rいまは、[string 3]むらに\rすんでいます。おみやげをもって\rあそびにきてください!!\r
0105	オッス! げんきにしてるかー?\rおいら、[string 3]むらに\rひっこしちゃいました!\r[string 1]と あえないと\rスゲェさみしいけど、ガンバルぜ!あそびにこいよなー!\r\r
0106	コンチハー!\rこんど、[string 3]むらに\rひっこしました。\r[string 4]むらでは おせわに\rなったけど、とおくにすんでても\rおせわしてくれよなー!\r
0107	[string 1]と はなればなれに\rなっちゃうのは サミシイけど\r[string 3]に ひっこすことに\rなりました。 ちかくにきたら\rぜったいに かおをみせに\rきてくれよな! わすれんなよ!!\r
0108	せわになったな。\rオレは、[string 3]むらに\rひっこすことにしたぜ。\rにどと あえねぇわけじゃねぇからさみしがるんじゃねぇぞ。\rきかいがあったら またあおうぜ。\r\r
0109	こんど [string 3]むらに\rひっこすことにしたぜ。\rおめぇには いろいろと\rせわになったな。\rかんしゃしてるぞ。 たまには\rかおをみせにくるんだぞ、いいな。\r
010A	よぉ、[string 1]。\rおめぇと しりあいになれて\rたのしかったぜぇ。 オレは\r[string 3]むらに ひっこすが\rこれからも げんきで\rいきていってくれよな。\r
010B	こんちは、[string 1]ちゃん!\rあたしいま、どこにいるかわかる?[string 3]に きてるの!\rこのまま こっちに\rすむことにきめちゃったわ。\rそーゆーわけだから、さよならね。\r\r
010C	ハァイ! げんきにしてるかしら?あたし、おひっこししたの。\rこれからは、[string 3]むらに\rいるから、ときどきは あそびに\rいらっしゃいね。 いちおう\rまってて あげるから、フフン。\r\r
010D	[string 1]ちゃんには\rおせわになったけど、いつまでも\r[string 4]むらにばっかり\rいても つまらないし\rおひっこしすることにしたの。\rたまには、あそびにきなさいね。\r
010E	せんじつ おおくりいただきましたカセキは、ひじょうにきちょうな\rトリケラトプスのあたま でした。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r
010F	せんじつ おおくりいただきましたカセキは、ひじょうにきちょうな\rトリケラトプスのからだ でした。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r
0110	せんじつ おおくりいただきましたカセキは、ひじょうにきちょうな\rトリケラトプスのしっぽ でした。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r
0111	せんじつ おおくりいただきましたカセキは、ひじょうにきょうぼうなティラノサウルスのあたま です。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r\r
0112	せんじつ おおくりいただきましたカセキは、ひじょうにきょうぼうなティラノサウルスのからだ です。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r\r
0113	せんじつ おおくりいただきましたカセキは、ひじょうにきょうぼうなティラノサウルスのしっぽ です。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r\r
0114	せんじつ おおくりいただきましたカセキは、ものすごくきょだいな\rアパトサウルスのあたま です。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r
0115	せんじつ おおくりいただきましたカセキは、ものすごくきょだいな\rアパトサウルスのからだ です。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r
0116	せんじつ おおくりいただきましたカセキは、ものすごくきょだいな\rアパトサウルスのしっぽ です。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r
0117	せんじつ おおくりいただきましたカセキは、とてもめずらしい\rステゴザウルスのあたま でした。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r
0118	せんじつ おおくりいただきましたカセキは、とてもめずらしい\rステゴザウルスのからだ でした。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r
0119	せんじつ おおくりいただきましたカセキは、とてもめずらしい\rステゴザウルスのしっぽ でした。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r
011A	せんじつ おおくりいただきましたカセキは、そらとぶ よくりゅう\rプテラノドンのあたま でした。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r
011B	せんじつ おおくりいただきましたカセキは、そらとぶ よくりゅう\rプテラノドンのうよく でした。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r
011C	せんじつ おおくりいただきましたカセキは、そらとぶ よくりゅう\rプテラノドンのさよく でした。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r
011D	せんじつ おおくりいただきましたカセキは、うみにせいそくしていたフタバスズキリュウのあたまです。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r\r
011E	せんじつ おおくりいただきましたカセキは、うみにせいそくしていたフタバスズキリュウのくび です。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r\r
011F	せんじつ おおくりいただきましたカセキは、うみにせいそくしていたフタバスズキリュウのからだです。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r\r
0120	せんじつ おおくりいただきましたカセキは、ひかくてき あたらしいマンモスのあたま でした。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r
0121	せんじつ おおくりいただきましたカセキは、ひかくてき あたらしいマンモスのからだ でした。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r
0122	せんじつ おおくりいただきましたカセキは、こだいのせいぶつ\rさんようちゅうのカセキ でした。ひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r\r
0123	せんじつ おおくりいただきましたカセキは、うみのせいぶつ\rアンモナイトのカセキ でした。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r
0124	せんじつ おおくりいただきましたカセキは、しょうたいふめいの\rタマゴのカセキ でした。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r
0125	せんじつ おおくりいただきましたカセキは、きょだいなせいぶつの\rあしあとのカセキ でした。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r
0126	せんじつ おおくりいただきましたサンプルは、\rコハク でした。\rひょうほんを おかえししますのでおおさめください。\rありがとうございました。\r\r\r
0127	\r\r\r\r\r\r
0128	\r\r\r\r\r\r
0129	\r\r\r\r\r\r
012A	\r\r\r\r\r\r
012B	\r\r\r\r\r\r
012C	あなたのこと\rおもいながらのむコーヒー\rちょっとしょっぱい\rなぜかしら?\r\r\r
012D	バーゲンで\rやすかったから\rかっちゃった\rにあわなかったし\rあなたにあげるわ\r\r
012E	きしゃのたび\rたのしいぼうけん\rまっている\rすてきなであいも\rいいおもいでも\r\r
012F	おとなりの\rおくさんくれたの\rおすそわけ\rかあさんはもう\rはらいっぱいなの\r\r
0130	こなくても\rいいのにくるもの\rなーんだ?\rそれは わたしの\rたんじょうび\r\r
0131	あさおきて\rみつけちゃったの\rシワひとつ\rわかくないわと\rかたおとす\r\r
0132	もうだいぶ\rかおみてないわね\rI miss you\rそれでもかあさん\rYes,I love you\r\r
0133	あなたって\rもともとちょっと\rトロいから\rあせらずゆっくり\rマイペースでね\r\r
0134	スーパーの\rカートではしる\rこどもらに\rきづかぬうちに\rはんにゃがお\r\r
0135	おおそうじ\rおまえのラブレター\rみつけたよ\r「よんで」いないわ\r「みた」けどね\r\r
0136	「なやむ」のは\rわかいしょうこよ\rうらやましい\rくよくよしないで\rぜんしんあるのみ\r\r
0137	はじめての\rかいがいりょこうで\rゆめごこち\rかえるひまちがえ\rねまきできこく\r\r
0138	とうさんの\rしょさいをそうじ\rしていたら\rでてきましたよ\rいちまんベル\r\r
0139	ジャズダンス\rはじめてみたのは\rいいけれど\rおまえのダンスは\rあわおどりって・・・\r\r
013A	おまえには\rいつもくろうを\rかけるわね\rかあちゃんそれは\rいわないやくそく\r\r
013B	かあさんね\rしらががふえて\rこまっちゃう\rいきおいあまって\rちゃぱつにしちゃった!!\r\r
013C	ひるさがり\rテレホンショップで\rかったふく\rいっちゃくあげるし\rきてちょうだいね\r\r
013D	このまえね\rかあさんカブで\rおおもうけ\rあれもかったし\rこれもかったわ\r\r
013E	あなたのね\rむかしのしゃしんを\rみていたの \rとなりのわたしが\rおかしかった\r\r
013F	じゃまだった\rおまえのまんが\rすてました\r\r\r\r
0140	やせねばと\rエアロビはじめて\rみたけれど\rわたしにはムリだ\rつぎはなにやろ?\r\r
0141	ちいさなころ\rおまえがえだから\rおっこちた\rくだもののきが\rだいほうさくです\r\r
0142	ヒマだから\rかていさいえん\rはじめたら\rとれすぎてこまる\rおいしいフルーツ\r\r
0143	なにげなく\rつくえにおいた\rりょこうのパンフ\rとうさんみてるわ\rしーめしめ\r\r
0144	このあいだ\rガーデニングを\rはじめたの\rでもきがついたら\rやさいばたけ\r\r
0145	よるおそく\rこわいえいがを\rみてかあさん\rさけんできんじょの\rあかりをON\r\r
0146	テーブルを\rうごかすつもりが\rうごかされ\r\r\r\r
0147	かあさんの\rケーキがひょうばん\rきんじょでも\rしょうばいしたら\rもうかるかもね\r\r
0148	だれからも\rすかれるひとに\rなりなさい\rはじめのいっぽは\rスキになること\r\r
0149	このまえね\rきんじょにコンビニ\rできたのよ\rこっちもずいぶん\rべんりになったわ\r\r
014A	かあさんの\rこころのなかの\rあなたのにおい\rいつまでたっても\rミルクのにおい\r\r
014B	ちかごろは\rてうちうどんに\rこってるの\rじょうずになったら\rおくってあげる\r\r
014C	ほめられて\rきょうもカレーを\rつくったら\rまたカレーかと\rおこるとうさん\r\r
014D	とうさんが\rすきだからよと\rだすおにく\rとくばいだったの\rほんとはね\r\r
014E	たまにはね\rかえってこいと\rムリとはね\rわかっていても\rいいたくなるのよ\r\r
014F	そちらでの\rせいかつそろそろ\rなれたかな\rまわりのひとには\rすかれるようにね\r\r
0150	とうさんと\rとなりむらまで\rおかいもの\rあなたににたコを\rみかけたわ\r\r
0151	おかいもの\rとなりのむらで\rみつけたの\rあなたにそっくり\rかっちゃった\r\r
0152	まいにちね\rだいじに だいじに\rそだてたよ\rあなたにおくる\rこうふくのき\r\r
0153	おなかから\rちからイッパイ\rおおごえを\rときにはだしたい\rおくさんおおし\r\r
0154	ちかくのね\rひろばでバザーが\rあったのよ\rいいカサあったの\rあなたにあげる\r\r
0155	げたばこに\rあなたのくつを\rみつけたわ\rドロだらけだけど\rあらえなかったの\r\r
0156	ゆうはんの\rおかずはなにが\rたべたいの?\rこたえるこえなく\rはりあいもなく\r\r
0157	「おかあさん!」\rひるまのドラマの\rセリフきき\r「はい」とこたえる\rねぼけたこえで\r\r
0158	ひるごはん\rついありもので\rすませがち\r\r\r\r
0159	ごきんじょで\rあなたのうわさ\rききました\rかえってくるのが\rとてもたのしみ\r\r
015A	あたらしい\rともだちできたの?\rあいたいわ\rどんなひとなの?\rなにがすきなの?\r\r
015B	とうさんと\rふたりっきりで\rおんせんに\rたまにはいいわね\rしんこんみたいで\r\r
015C	どうかしら?\rわたしのせんりゅう\rすてきでしょ\rつぎからつぎへと\rネタがでてくる\r\r
015D	さいきんね\rしょくよくなくて\rなにかへん\rがんばってるけど\rあなたはげんき?\r\r
015E	あめのひの\rつぎのひそとに\rでてみれば\rつちのなかから\rハニワがひとつ\r\r
015F	ねるまえに\rトイレにいくのを\rわすれずに\rあさのひげきを\rさけるためにも\r\r
0160	ねるまえに\rハミガキするのを\rわすれずに\rはいしゃでこうかい\rしないためにも\r\r
0161	はやおきは\r3ベルのとくと\rいうけれど\r10ベルはらうし\rおねぼうさせて\r\r
0162	せんりゅうを\rかんがえるのが\rやめられない\rでも あなたしか\rきいてくれない\r\r
0163	いちにちは\rあっというまに\rすぎるけど\rそのつみかさねが\rせいしゅんのひび\r\r
0164	しんねんの\rはつひにいのる\rねがいごと\rあなたがげんきで\rしあわせに・・・\r\r
0165	あけまして\rおめでとうとは\rいうけれど\rトシをとるのは\rめでたくないわね\r\r
0166	せつぶんの\rマメたべすぎて\rあしたなげるマメなし\r\r\r\r
0167	おもいだす\rオニのすがたに\rおどろいて\rマメもなげずに\rないてたあなた\r\r
0168	かわぞいで\rせっかちつくしを\rみつけたの\rはるのあしおと\rきこえたのかしら\r\r
0169	ひさしぶり\rひなにんぎょうを\rだしました\rわたしのだいじな\rたからもの\r\r
016A	うらにわの\rさくらがことしも\rまんかいよ\rあなたのところは\rどうなのかしら\r\r
016B	まんかいの\rさくらをみあげ\rおもいだす\rとどかぬえだに\rのばすてのひら\r\r
016C	おととしの\rはしらのキズは\rあるけれど\rあなたのせたけ\rいまどのくらい?\r\r
016D	こいのぼり\rめざしにみえて\rしかたない\r\r\r\r
016E	あまぞらに\rうかぶためいき\rきょうもまた\rせんたくものが\rかわかない\r\r
016F	よもふけて\rかわへすずみに\rでてみれば\rあちらこちらに\rホタルちらほら\r\r
0170	とうさんと\rほたるのむれの\rなかあるく\rミルキーウェイを\rわたるみたいに\r\r
0171	たなばたに\rあやかってみて\rとうさんと\rきょうはふたりで\rデートなの\r\r
0172	あさはやく\rみんなしゅうごう\rいち に さん\rラジオたいそう\rはじまるよ\r\r
0173	どようびは\rおおきなおいけで\rはなびたいかい\rことしはあかの\rゆかたでいくの\r\r
0174	9がつとは\rいえどもまだまだ\rあついです\rつかれがでるころ\rきをぬかないで\r\r
0175	きがつけば\rもうスズムシが\rないている\rしらないうちに\rあきのおとずれ\r\r
0176	モミジがり\rつもりでやまに\rのぼったら\rかおりにつられ\rマツタケがりよ\r\r
0177	10がつ10かは\rたいいくのひ\rむかしはきまって\rいたけれど\rいまはちがうの\rまぎらわしい\r
0178	にわそうじ\rおちばのやまに\rひをつける\rほのかににおうは\rやきいものかほり\r\r
0179	きこえたよ\rおちばがならす\rふゆのおと\r\r\r\r
017A	ねんがじょう\rむちゅうになって\rかいてたら\rうえしたぎゃくで\rまたはじめから\r\r
017B	しょうじがみ\rはりかえながら\rおもいだす\rうわめづかいと\rあきたてのアナ\r\r
017C	はじめては\rうれしいものなの\rあなたがね\rはなをくれても\rイタズラしても\r\r
017D	あなたがね\rはじめてかいた\rわたしのえ\rいまでもだいじな\rたからものなの\r\r
017E	めずらしく\rとうさんもてがみを\rかいてみる\rきょうはなんのひか\rしっているかい?\r\r
017F	おとうさん\rいつのひからか\r「おとうさん」\r\r\r\r
0180	ニュースです\rあなたのおとうと\rできちゃった\rごめんねうそよ\rエープリルフール\r\r
